player,team,total_shots,total_goals,total_passes,completed_passes,dribbles,interceptions
Saeid Ezatolahi Afagh,Iran,3,0,93,284,0,1
Saleh Khalid Al Shehri,Saudi Arabia,3,1,46,273,5,1
Salem Mohammed Al Dawsari,Saudi Arabia,7,2,117,451,7,0
Salis Abdul Samed,Ghana,1,0,142,497,5,7
Sam Adekugbe,Canada,0,0,72,210,1,0
Saman Ghoddos,Iran,1,0,21,71,0,0
Sami Khalil Al Naji,Saudi Arabia,0,0,21,70,0,0
Samuel Yves Oum Gwet,Cameroon,0,0,57,170,0,0
Sang-Ho Na,South Korea,1,0,38,186,6,0
Sardar Azmoun,Iran,5,0,32,123,0,0
Saud Abdullah Abdul Hamid,Saudi Arabia,1,0,119,380,4,4
Saša Lukić,Serbia,1,0,162,519,1,2
Sebastian Szymański,Poland,0,0,40,173,2,1
Sebastián Coates Nión,Uruguay,1,0,97,231,0,0
Selim Amallah,Morocco,2,0,88,508,10,11
Serge Gnabry,Germany,12,1,113,426,6,5
Sergej Milinković-Savić,Serbia,3,1,120,416,3,3
Sergino Dest,United States,6,0,201,684,8,3
Sergio Busquets i Burgos,Spain,3,0,290,784,2,4
